Country Name,2020
Malaysia,2146.253789
Ireland,1637.092569
New Zealand,1445.046023
Bahrain,1395.890476
Kuwait,1208.14375
United Arab Emirates,626.8049702
Colombia,615.3115705
Costa Rica,595.8299588
"Egypt, Arab Rep.",542.5739357
Seychelles,542.4666667
