Region,1990,2020
East Asia & Pacific,144075.0085,490271.1867
Europe & Central Asia,159339.1935,112835.454
Latin America & Caribbean,26982.00994,43578.18273
Middle East & North Africa,43002.848,120803.245
North America,2632004.8,2418703.1
South Asia,80161.51125,314804.3463
Sub-Saharan Africa,8549.04394,15851.41902
